1|601127|.Sh|671822584
1|601127|.Sh|671822584
1|601127|.Sh|671822584
1|601127|.Sh|671822584
1|601127|.Sh|671822584
0|000559|.SZ|631072881
0|002190|.SZ|516800826
0|002765|.SZ|468890129
0|002759|.SZ|468595158
1|603083|.Sh|387337773
0|002400|.SZ|386866507
1|600416|.Sh|384633665
1|600519|.Sh|369787047
1|601615|.Sh|367022406
0|002291|.SZ|330023299
1|688249|.Sh|322507386
1|603799|.Sh|320194834
0|002510|.SZ|316212992
1|600690|.Sh|311193559
1|688347|.Sh|292958662
0|301668|.SZ|288165591
1|600893|.Sh|287961770
1|600021|.Sh|286777791
0|002407|.SZ|275772069
1|600030|.Sh|274708477
0|000333|.SZ|269511449
0|002594|.SZ|269030179
0|000826|.SZ|256374153
0|300604|.SZ|252654127
0|300316|.SZ|243717416
1|600884|.Sh|239609527
0|000657|.SZ|231582693
0|002725|.SZ|227062795
0|300303|.SZ|225361715
0|002056|.SZ|208434125
1|600406|.Sh|206404145
0|300666|.SZ|201991068
1|600169|.Sh|198582240
1|603269|.Sh|191899655
1|600048|.Sh|188326616
0|002049|.SZ|182332153
1|601288|.Sh|179448987
1|688012|.Sh|175068032
0|300046|.SZ|173526926
0|002052|.SZ|173169800
1|601688|.Sh|172127848
0|002208|.SZ|170357823
0|000625|.SZ|163030283
1|600063|.Sh|162256594
1|600392|.Sh|160381421
0|002466|.SZ|158630269
0|000581|.SZ|156720059
0|300157|.SZ|154856532
1|688469|.Sh|154521403
1|688120|.Sh|150573304
0|002352|.SZ|149278411
1|600487|.Sh|148623744
0|002140|.SZ|148524190
1|601218|.Sh|146758069
1|600711|.Sh|139160438
1|601336|.Sh|135257631
0|302132|.SZ|133466180
1|600489|.Sh|132293679
0|301656|.SZ|129898968
1|601127|.Sh|671822584
0|000559|.SZ|631072881
0|002190|.SZ|516800826
0|002765|.SZ|468890129
0|002759|.SZ|468595158
1|603083|.Sh|387337773
0|002400|.SZ|386866507
1|600416|.Sh|384633665
1|600519|.Sh|369787047
1|601615|.Sh|367022406
0|002291|.SZ|330023299
1|688249|.Sh|322507386
1|603799|.Sh|320194834
0|002510|.SZ|316212992
1|600690|.Sh|311193559
1|688347|.Sh|292958662
0|301668|.SZ|288165591
1|600893|.Sh|287961770
1|600021|.Sh|286777791
0|002407|.SZ|275772069
1|600030|.Sh|274708477
0|000333|.SZ|269511449
0|002594|.SZ|269030179
0|000826|.SZ|256374153
0|300604|.SZ|252654127
0|300316|.SZ|243717416
1|600884|.Sh|239609527
0|000657|.SZ|231582693
0|002725|.SZ|227062795
0|300303|.SZ|225361715
0|002056|.SZ|208434125
1|600406|.Sh|206404145
0|300666|.SZ|201991068
1|600169|.Sh|198582240
1|603269|.Sh|191899655
1|600048|.Sh|188326616
0|002049|.SZ|182332153
1|601288|.Sh|179448987
1|688012|.Sh|175068032
0|300046|.SZ|173526926
0|002052|.SZ|173169800
1|601688|.Sh|172127848
0|002208|.SZ|170357823
0|000625|.SZ|163030283
1|600063|.Sh|162256594
1|600392|.Sh|160381421
0|002466|.SZ|158630269
0|000581|.SZ|156720059
0|300157|.SZ|154856532
1|688469|.Sh|154521403
1|688120|.Sh|150573304
0|002352|.SZ|149278411
1|600487|.Sh|148623744
0|002140|.SZ|148524190
1|601218|.Sh|146758069
1|600711|.Sh|139160438
1|601336|.Sh|135257631
0|302132|.SZ|133466180
1|600489|.Sh|132293679
0|301656|.SZ|129898968
1|601127|.Sh|671822584
